,ALOHA,ALOHA,ALOHA,ALOHA,ALOHA,ALOHA,ALOHA,BATS,BATS,BATS,BATS,BATS,BATS,BATS,EqPac,EqPac,EqPac,EqPac,EqPac,EqPac,EqPac,OSP,OSP,OSP,OSP,OSP,OSP,OSP
,VGPM (MODIS),CbPM (MODIS),CAFE (MODIS),BICEP (merged),"Carr (SeaWiFS, B&F97)","Carr (MODIS, C02)",14C,VGPM (MODIS),CbPM (MODIS),CAFE (MODIS),BICEP (merged),"Carr (SeaWiFS, B&F97)","Carr (MODIS, C02)",14C,VGPM (MODIS),CbPM (MODIS),CAFE (MODIS),BICEP (merged),"Carr (SeaWiFS, B&F97)","Carr (MODIS, C02)",14C,VGPM (MODIS),CbPM (MODIS),CAFE (MODIS),BICEP (merged),"Carr (SeaWiFS, B&F97)","Carr (MODIS, C02)",14C
Jan,281.799853467006,608.597315363167,409.41810899373,237.983379364014,313.747437649394,321.650780311258,431.762380952381,372.058857510689,301.510461596619,316.227686670401,350.427864236624,325.995205344366,348.269553105024,395.290634615385,470.461719687468,1033.65979263206,793.007423749936,487.724708557129,863.177868740642,910.233822397709,NaN,165.485034101842,129.532917534171,231.687172864085,96.2460670471191,158.006453938459,151.647825012024,300
Feb,280.282934727388,618.77420724607,438.957714684181,260.481590270996,319.93243331529,325.497119003488,450.0904,427.299254203687,299.815522166891,359.112313511867,427.770200590012,441.0612871002,418.336174168277,563.946744680851,479.294571122313,1064.73978040109,845.47828923643,510.29606628418,906.18692358783,974.774127156746,758.194375,219.009500686379,203.639280687664,271.485309955428,148.352256774902,243.348500912607,257.057205192052,233
Mar,275.671479863435,611.262480821796,502.224120550218,251.263877868652,323.225238808851,314.822383106676,540.833,496.975765188991,342.985322088298,402.074174962834,404.455288338401,541.338667039116,495.129350487441,578.281239130435,453.670676836001,1045.95469755285,879.177245694827,678.464447021484,954.420107757083,945.861025619677,774.7095,298.713908813964,252.502538776606,345.993893143399,244.187232971191,331.150603063118,368.645334464825,NaN
Apr,266.598629465913,603.387079692666,567.589818182802,271.384819030762,347.541181172818,305.357600614365,554.958695652174,400.062851715753,427.877965108129,392.833444885626,385.996031421577,470.38654315429,471.916821123335,586.847372549019,410.763132332197,1034.56994768529,854.504574445338,672.974822998047,928.869840822531,916.657409299896,NaN,361.630189902556,360.114223951175,371.614837676958,313.999786376953,393.507761750437,428.095996470918,662.6
May,240.12516362558,581.412870432037,606.461216563804,278.341079711914,340.10160002603,292.50546361849,630.221923076923,296.050437713051,360.221946667693,370.928424168619,321.190428614899,354.447612310215,291.582660387458,417.717194444444,443.345574472465,1097.78581287658,845.637036691304,679.516448974609,940.25282448811,983.336216723182,NaN,460.794884212829,547.679165908714,509.008849615625,376.359931945801,440.403129478726,490.424604050619,449.947368421053
Jun,228.309535244711,568.332515933467,608.550612054463,278.550666809082,332.651346399948,288.561267907187,644.919523809524,244.855931484008,371.912092898912,370.361729978075,349.445664196426,321.284304967054,282.869498506955,417.144451612903,460.755145702487,1112.08789281907,825.222025553385,612.994094848633,1018.93119193159,961.333934405399,NaN,578.530543826677,698.368036856058,640.904862139998,390.643394470215,424.153163409543,614.307853885091,740.294117647059
Jul,230.512794963363,574.590308668099,619.495490763546,287.464347839355,430.601471574307,339.497447995068,592.102916666667,184.478033678521,361.416155674009,353.805396580675,329.404832151014,292.703054485776,250.539237701836,436.521472222222,501.938654083052,1126.98442386802,827.450247770821,643.295623779297,1141.20708641011,981.047163384246,NaN,701.3146272464,747.880219940873,662.324666632027,376.043968200684,566.010318291797,648.60411235499,480.6
Aug,218.715959406211,574.573617086224,607.891233232286,274.330841064453,382.965001125396,330.273658623096,627.4012,152.944747735081,360.943544007904,342.158182478615,292.185488346123,249.722608566082,223.190163614695,395.621566666667,492.629591100356,1071.52548915888,860.701011508119,644.175888061523,1104.49322960014,961.24205907257,1544.01405,777.636807327436,737.733711727477,606.011807211084,353.38077545166,656.881041458181,655.868814133025,538.333333333333
Sep,205.97616146499,578.803173154943,576.728817897373,278.201011657715,352.191034668476,340.672345400168,513.524736842105,159.120935256074,377.50814211471,336.750766931458,338.400878524503,258.215009657105,234.348467387506,380.402903225806,479.740951737547,1054.39249215718,900.085209067351,630.183639526367,972.906353346957,955.892677292154,1213.111,694.859657210029,718.118337471934,515.645714266022,245.690818786621,640.019525864156,631.94690525153,762.1
Oct,213.366884261487,595.367548002605,516.167718187968,249.304058074951,318.672564764499,320.279029164681,525.545517241379,190.048389270871,390.539139773314,332.100622933302,301.673030053961,223.485151336525,218.752839297443,336.473083333333,476.877786773482,1025.90669978522,867.082361158982,630.087661743164,959.782632783751,958.232535980788,1372.75,472.4320876981,508.07328817441,383.712793711743,172.915946960449,425.338208948908,413.407443355386,333
Nov,237.809235878863,593.815481043797,459.991953342413,230.951530456543,312.187628494577,308.172364275495,463.008,264.556626552135,418.685567623057,317.355520855799,289.443003037998,262.567137878135,257.62222955651,323.626441176471,461.20883647445,991.960825602213,811.301629558887,587.381561279297,858.991954203174,901.17718791067,NaN,251.010938353528,252.043392365967,289.352181035016,105.791919708252,224.716842022472,209.235379371469,230
Dec,267.736370406431,579.370125261943,413.761420299804,227.078983306885,294.405068156064,312.141289439958,416.717222222222,320.729767576104,388.689617779155,292.892537665859,312.090934746109,279.458774633011,286.06256095527,343.951359375,464.320157718035,988.542667563445,765.409874211729,493.739936828613,871.65867344832,898.216954775063,NaN,0,0,0,59.8847427368164,0,0,NaN
